CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000001,-1.3361965362404262,0.43040453034870296,-1.424355302627382,-1.3878219373408682,0.16353622690772115,0.41430179772253645,-1.1741003609006417,-0.7725327737375947,-0.08045417739045481,-0.2126163799959432,-0.24062204641906013,-0.12678962400551574,0.051915666094269716,-0.49336949627746324,-0.9701456617788421,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
CUS000002,-0.41142251185211476,-0.23247158275007082,-1.424355302627382,-1.3878219373408682,-1.580277629082943,1.386138935035105,1.2468751766589456,1.3000148289240172,1.703840690068961,1.5125148983451235,0.6690022048166299,1.6065808521246883,1.8385306578901672,1.21037706872222,-0.9701456617788421,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
CUS000003,-0.8738095240462705,-0.23247158275007082,0.00573181208300758,1.4445835707699426,0.7989938184975395,-1.1649335504103875,-1.1741003609006417,1.3000148289240172,-0.9726016111201627,-0.2126163799959432,-0.24062204641906013,0.7398956140595863,0.9452231619922185,-0.49336949627746324,0.18892310255693232,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000004,-0.8738095240462705,1.7561567565462506,-0.7093117452721873,0.7364821937422399,-1.166491290373294,0.3535619766405009,-1.1741003609006417,0.2637410275932113,0.8116932563392532,1.5125148983451235,-0.24062204641906013,0.7398956140595863,-0.841391829803679,1.21037706872222,-0.9701456617788421,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
CUS000005,-0.8738095240462705,0.43040453034870296,0.00573181208300758,-1.3878219373408682,1.4048952430366686,-0.8612344450002098,1.2468751766589456,0.2637410275932113,0.8116932563392532,1.5125148983451235,1.57862645605232,0.7398956140595863,1.8385306578901672,0.3585037862223784,-0.9701456617788421,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
CUS000006,0.28215800643911887,-0.8953476958488447,-0.7093117452721873,0.7364821937422399,-1.240381708000017,0.04986287123032321,1.2468751766589456,0.2637410275932113,-0.9726016111201627,-0.2126163799959432,0.6690022048166299,0.7398956140595863,0.9452231619922185,0.3585037862223784,0.18892310255693232,0.5375273039353373,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000007,-0.8738095240462705,-0.23247158275007082,1.4358189267933974,-0.6797205603131655,-0.9152638704424355,-1.225673371492423,-1.1741003609006417,1.3000148289240172,-0.9726016111201627,0.6499492591745901,-1.1502462976547503,0.7398956140595863,-0.841391829803679,0.3585037862223784,0.18892310255693232,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000008,-0.41142251185211476,-0.23247158275007082,1.4358189267933974,-1.3878219373408682,0.48865406446530263,1.0824398296249274,-1.1741003609006417,1.3000148289240172,0.8116932563392532,0.6499492591745901,0.6690022048166299,-0.12678962400551574,0.051915666094269716,0.3585037862223784,0.18892310255693232,-0.8522453627161305,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000009,-0.6426160179491927,-0.8953476958488447,0.00573181208300758,0.02838081671453721,1.2571144077832224,-1.104193729328352,-1.1741003609006417,0.2637410275932113,0.8116932563392532,0.6499492591745901,-0.24062204641906013,0.7398956140595863,0.051915666094269716,0.3585037862223784,-0.9701456617788421,-0.8522453627161305,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000010,-0.6426160179491927,0.43040453034870296,-1.424355302627382,1.4445835707699426,0.38520747978789033,-1.2864131925744586,-1.1741003609006417,-0.7725327737375947,0.8116932563392532,0.6499492591745901,-0.24062204641906013,-0.12678962400551574,0.051915666094269716,-0.49336949627746324,0.18892310255693232,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
