Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner),pca_convenience,pca_service_issue,pca_deal_sensitive,cluster,CustomerID
-1.3361965362404262,0.4304045303487029,-1.424355302627382,-1.3878219373408682,0.1635362269077211,0.4143017977225364,-1.1741003609006415,-0.7725327737375947,-0.0804541773904548,-0.2126163799959432,-0.2406220464190601,-0.1267896240055157,0.0519156660942697,-0.4933694962774632,-0.970145661778842,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.0812961321311478,-0.16745704706356854,-0.7289541181339846,0,CUS000001
-0.4114225118521147,-0.2324715827500708,-1.424355302627382,-1.3878219373408682,-1.580277629082943,1.386138935035105,1.2468751766589456,1.3000148289240172,1.703840690068961,1.5125148983451235,0.6690022048166299,1.6065808521246885,1.8385306578901672,1.21037706872222,-0.970145661778842,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2.0370890615440636,2.428392878217881,0.4757766314005868,0,CUS000002
-0.8738095240462705,-0.2324715827500708,0.0057318120830075,1.4445835707699426,0.7989938184975395,-1.1649335504103877,-1.1741003609006415,1.3000148289240172,-0.9726016111201627,-0.2126163799959432,-0.2406220464190601,0.7398956140595863,0.9452231619922185,-0.4933694962774632,0.1889231025569323,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,-1.0340380465405445,0.8917750346652841,-0.7289541181339846,0,CUS000003
-0.8738095240462705,1.7561567565462506,-0.7093117452721873,0.7364821937422399,-1.166491290373294,0.3535619766405009,-1.1741003609006415,0.2637410275932113,0.8116932563392532,1.5125148983451235,-0.2406220464190601,0.7398956140595863,-0.841391829803679,1.21037706872222,-0.970145661778842,0.5375273039353373,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.5811229585427258,-0.22151508380961382,0.4757766314005868,0,CUS000004
-0.8738095240462705,0.4304045303487029,0.0057318120830075,-1.3878219373408682,1.4048952430366686,-0.8612344450002098,1.2468751766589456,0.2637410275932113,0.8116932563392532,1.5125148983451235,1.57862645605232,0.7398956140595863,1.8385306578901672,0.3585037862223784,-0.970145661778842,0.5375273039353373,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1.5811229585427258,2.4031916175502217,-0.1265887433666989,0,CUS000005
0.2821580064391188,-0.8953476958488447,-0.7093117452721873,0.7364821937422399,-1.240381708000017,0.0498628712303232,1.2468751766589456,0.2637410275932113,-0.9726016111201627,-0.2126163799959432,0.6690022048166299,0.7398956140595863,0.9452231619922185,0.3585037862223784,0.1889231025569323,0.5375273039353373,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,-0.8684461094045249,1.3691607964890287,-0.1265887433666989,0,CUS000006
-0.8738095240462705,-0.2324715827500708,1.4358189267933974,-0.6797205603131655,-0.9152638704424356,-1.225673371492423,-1.1741003609006415,1.3000148289240172,-0.9726016111201627,0.6499492591745901,-1.1502462976547505,0.7398956140595863,-0.841391829803679,0.3585037862223784,0.1889231025569323,0.5375273039353373,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.43081155270427685,-0.6989008456333585,-0.1265887433666989,1,CUS000007
-0.4114225118521147,-0.2324715827500708,1.4358189267933974,-1.3878219373408682,0.4886540644653026,1.0824398296249274,-1.1741003609006415,1.3000148289240172,0.8116932563392532,0.6499492591745901,0.6690022048166299,-0.1267896240055157,0.0519156660942697,0.3585037862223784,0.1889231025569323,-0.8522453627161305,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0.8123045275704384,0.30992871476017586,0.8561289335302582,0,CUS000008
-0.6426160179491927,-0.8953476958488447,0.0057318120830075,0.0283808167145372,1.2571144077832224,-1.104193729328352,-1.1741003609006415,0.2637410275932113,0.8116932563392532,0.6499492591745901,-0.2406220464190601,0.7398956140595863,0.0519156660942697,0.3585037862223784,-0.970145661778842,-0.8522453627161305,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0.9778964647064579,0.3351299754278351,0.8561289335302582,0,CUS000009
-0.6426160179491927,0.4304045303487029,-1.424355302627382,1.4445835707699426,0.3852074797878903,-1.2864131925744586,-1.1741003609006415,-0.7725327737375947,0.8116932563392532,0.6499492591745901,-0.2406220464190601,-0.1267896240055157,0.0519156660942697,-0.4933694962774632,0.1889231025569323,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1.1434884018424776,-0.16745704706356854,-0.7289541181339846,0,CUS000010
-0.8738095240462705,1.0932806434474769,0.7207753694382024,0.7364821937422399,1.2718924913085672,0.8394805452967852,1.2468751766589456,0.2637410275932113,0.8116932563392532,1.5125148983451235,0.6690022048166299,1.6065808521246885,0.9452231619922185,0.3585037862223784,0.1889231025569323,0.5375273039353373,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.5811229585427258,1.8717478189804324,-0.1265887433666989,0,CUS000011
