CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000035,22,2,1,1,201,19.0,1,5,2,4,5,2,5,2,,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000036,25,3,3,5,42,52.0,2,4,1,2,1,1,1,3,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000037,25,5,5,1,221,23.0,1,5,4,5,5,2,3,5,2.0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000038,32,5,2,1,149,55.0,1,4,4,2,4,3,4,2,3.0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000039,23,3,1,3,94,18.0,3,4,4,5,4,3,4,4,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000040,23,4,5,2,89,22.0,3,4,4,3,3,3,3,4,2.0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
CUS000041,30,4,4,4,114,48.0,3,4,4,5,4,5,5,3,4.0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
CUS000042,23,3,2,5,158,60.0,1,4,4,4,4,3,3,4,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000043,23,4,1,4,102,27.0,3,4,5,5,2,4,2,4,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000044,22,5,4,4,195,35.0,1,4,5,5,3,4,3,2,1.0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
CUS000045,22,5,4,1,49,62.0,1,4,2,2,4,4,4,4,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000046,27,2,5,4,184,53.0,3,5,5,5,5,5,4,4,1.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
