ExpectedLoss_full_pred,ExpectedLoss_noOrder_pred,cluster,risk_segment
0.18023357869994217,0.3186842271774294,0,Low Risk
1.0,0.5419017238307564,0,High Value Only
0.2286937147084149,0.48423969200470424,2,Low Risk
0.2859042291813693,0.4314833449012985,1,Low Risk
0.6655280053646788,0.689611323296931,2,High Behavior + High Value
0.27687853014719827,0.31933084882623275,2,Low Risk
0.0,0.0,1,Low Risk
0.0,0.7572090100994296,0,High Behavior Only
0.41202472541456664,0.7042919433282046,1,High Behavior Only
0.0,0.6218275221495665,0,High Behavior Only
0.0,0.6722763146676937,2,High Behavior Only
0.0,0.22722915524319284,0,Low Risk
0.2704497254957531,0.19576878201127346,2,Low Risk
0.0,0.3523508017386745,2,Low Risk
0.0,0.61264689517209,0,High Behavior Only
0.06094461405965647,0.11410938562465174,2,Low Risk
0.4009364842092616,0.5848282376670408,2,Low Risk
0.0,0.4669664242769613,0,Low Risk
0.019350944719457416,0.023055104469114907,1,Low Risk
0.327550858622986,0.46888014601623923,2,Low Risk
0.23545143573768013,0.35844372763817883,2,Low Risk
0.011645662158344809,0.004420261802999702,1,Low Risk
0.4097922005276075,0.580666931991652,2,Low Risk
0.481396846881873,0.7449866043776868,0,High Behavior Only
0.4813028026023841,0.5142275037616211,0,Low Risk
0.2949779019501619,0.23101273800590316,0,Low Risk
0.0,0.9557201723357397,0,High Behavior Only
0.0,0.3809147088663629,2,Low Risk
0.1328727495132343,0.1738506779619322,2,Low Risk
0.9792908929489983,0.7875783813225743,2,High Behavior + High Value
0.325238188025847,0.286612770943127,1,Low Risk
0.9964465125323285,0.36870343262321487,0,High Value Only
0.48833746401683253,0.7584433169548669,2,High Behavior Only
0.0,0.0053358930558291,0,Low Risk
0.030127550163564262,0.10002877357190534,1,Low Risk
0.0,0.6587323510401997,0,High Behavior Only
0.36998842991363434,0.48466081585244825,2,Low Risk
0.0,0.5190922602698077,0,Low Risk
0.4783826695672515,0.842130866860929,2,High Behavior Only
0.0,0.5536697449989781,0,Low Risk
0.4962182180567316,0.6553583657054616,0,High Behavior Only
0.39943606320184144,0.3745314272423905,1,Low Risk
0.0,0.6353480022092386,0,High Behavior Only
0.24879853718763634,0.4671485096398744,2,Low Risk
0.0,0.5001252441020865,0,Low Risk
0.9961065573141905,0.4573285585170114,0,High Value Only
0.16600483033905447,0.4095959577800874,0,Low Risk
0.0,0.06990578770344161,1,Low Risk
0.0,0.4866299248987891,0,Low Risk
0.959386164056224,0.7410536432918453,2,High Behavior + High Value
0.035365704673069896,0.0329122852652145,1,Low Risk
0.0,0.40922258002924095,1,Low Risk
0.9729866101732643,0.7899209082224248,2,High Behavior + High Value
0.44816040044677846,0.39731114421599517,0,Low Risk
0.0,0.640561661613249,0,High Behavior Only
0.4785420611799017,0.6379530136538516,0,High Behavior Only
0.7075114963973248,0.6149163831043456,0,High Behavior + High Value
0.9957418975384024,0.8505294589338176,2,High Behavior + High Value
0.9309430635741384,0.8317542051159967,2,High Behavior + High Value
0.6459568619151548,0.39053696368898905,2,High Value Only
0.030739575590394135,0.05507588039333482,2,Low Risk
0.8084664619387711,0.6310159836248308,2,High Behavior + High Value
0.0,0.476104259993426,2,Low Risk
0.0,0.07018315734970425,1,Low Risk
0.013267150540615315,0.00013395321158597706,1,Low Risk
0.0,0.16804962266960738,1,Low Risk
0.49212297159618495,0.9528682928373213,2,High Behavior Only
0.0,0.5287813774062352,0,Low Risk
0.8699852131706174,0.7383194365093165,1,High Behavior + High Value
0.3413800048519992,0.40596625440670875,1,Low Risk
0.5853976796102903,0.7968287517211712,2,High Behavior Only
0.8401199504396119,0.46181978405312063,2,High Value Only
0.0,0.7030871386083023,2,High Behavior Only
0.302554518420367,0.5889506717851837,2,Low Risk
0.9662884824488475,0.5812940348505405,2,High Value Only
0.7062742459177099,0.3611881873727268,0,High Value Only
0.014646518201177489,0.010909072540183112,1,Low Risk
0.01416086005634618,0.04930706677954857,1,Low Risk
0.773405258290075,0.9300108278055401,2,High Behavior + High Value
0.8022115756674132,0.6180283834479163,2,High Behavior + High Value
0.40830106706928543,0.7821852482869412,2,High Behavior Only
0.39485879841032273,0.5460657021848037,0,Low Risk
0.03580546127926923,0.10713492984952001,1,Low Risk
0.020156441401746463,0.04049108675276727,1,Low Risk
0.44621281826800213,0.8602056265747007,0,High Behavior Only
0.08493870482918323,0.1151545766213261,1,Low Risk
0.4813355605340192,0.37155124325420275,0,Low Risk
0.0,0.2495149690910251,1,Low Risk
0.9983903742705595,0.818598004507819,0,High Behavior + High Value
0.0,0.04055412104670152,1,Low Risk
0.011251164692366412,0.016824584392952736,1,Low Risk
0.0,1.0,0,High Behavior Only
0.4714181226343469,0.5540060451724843,0,Low Risk
0.0,0.3421785737778936,0,Low Risk
0.29086119599428234,0.4765996288130752,2,Low Risk
0.0528497690301641,0.07977417863739304,1,Low Risk
0.7429084593266774,0.6723502601852506,0,High Behavior + High Value
0.02770855570625884,0.013096442411673868,1,Low Risk
0.0,0.867033950580833,0,High Behavior Only
0.0,0.4015829978526049,1,Low Risk
