Model,AUC,F1,Precision,Recall,Accuracy
XGBoost,0.8521291497909855,0.8176772881851757,0.7521150334107011,0.8977104377104377,0.7816363636363637
RandomForest,0.8445003171814767,0.8081527956513674,0.7325719661661949,0.905050505050505,0.7636161616161615
Logistic,0.8321004245352072,0.8015848733874888,0.7157070377423616,0.9193265993265992,0.7495555555555555
